Model,Overall ASR,95% CI,Mean Length Unsafe,Mean Length Blocked
Llama 3.1 8B,61.5%,"(54.6%, 68.0%)",2361.5,2441.2
Mistral 7B,70.0%,"(63.3%, 75.9%)",1750.7,2270.0
